,kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb,kraj,byt,datum
40,2012-126-2009-1,2012,2009,1,126,1395973.115,39.8,40.3,42.0,4.77,Moravskoslezský,3+1,2009-01-01 00:00:00
41,2014-126-2009-1,2014,2009,1,126,1716818.844,45.9,46.6,48.5,5.5,Zlínský,3+1,2009-01-01 00:00:00
42,1001-133-2009-1,1001,2009,1,133,7508657.188999999,166.9,169.3,176.3,20.02,Praha,4+1,2009-01-01 00:00:00
43,1003-133-2009-1,1003,2009,1,133,1951940.003,51.5,52.2,54.4,6.17,Jihočeský,4+1,2009-01-01 00:00:00
44,1004-133-2009-1,1004,2009,1,133,2854865.0,77.4,78.5,81.7,9.28,Pardubický,4+1,2009-01-01 00:00:00
45,1005-133-2009-1,1005,2009,1,133,2460181.616,66.8,67.8,70.6,8.01,Královéhradecký,4+1,2009-01-01 00:00:00
46,1006-133-2009-1,1006,2009,1,133,,,,,,Vysočina,4+1,2009-01-01 00:00:00
47,1007-133-2009-1,1007,2009,1,133,2726154.8619999997,77.2,78.3,81.5,9.26,Karlovarský,4+1,2009-01-01 00:00:00
48,1008-133-2009-1,1008,2009,1,133,1879674.138,51.5,52.2,54.4,6.17,Liberecký,4+1,2009-01-01 00:00:00
49,1010-133-2009-1,1010,2009,1,133,2082467.361,53.1,53.9,56.1,6.37,Plzeňský,4+1,2009-01-01 00:00:00
50,1011-133-2009-1,1011,2009,1,133,3214623.753,75.8,76.9,80.1,9.09,Středočeský,4+1,2009-01-01 00:00:00
51,1013-133-2009-1,1013,2009,1,133,1284728.377,35.6,36.1,37.6,4.26,Ústecký,4+1,2009-01-01 00:00:00
52,2002-133-2009-1,2002,2009,1,133,3068030.506,82.9,84.2,87.6,9.95,Jihomoravský,4+1,2009-01-01 00:00:00
53,2009-133-2009-1,2009,2009,1,133,2200452.195,61.2,62.1,64.7,7.34,Olomoucký,4+1,2009-01-01 00:00:00
54,2012-133-2009-1,2012,2009,1,133,1770110.586,50.4,51.2,53.3,6.05,Moravskoslezský,4+1,2009-01-01 00:00:00
55,2014-133-2009-1,2014,2009,1,133,2239605.387,59.9,60.8,63.3,7.18,Zlínský,4+1,2009-01-01 00:00:00
56,0-113-2009-1,0,2009,1,113,1231304.5,29.7,30.2,31.4,3.56,Celá ČR,1+1,2009-01-01 00:00:00
57,0-123-2009-1,0,2009,1,123,1612539.0,38.9,39.5,41.1,4.67,Celá ČR,2+1,2009-01-01 00:00:00
58,0-126-2009-1,0,2009,1,126,1986344.5,48.0,48.7,50.7,5.75,Celá ČR,3+1,2009-01-01 00:00:00
59,0-133-2009-1,0,2009,1,133,2708991.0,65.4,66.4,69.1,7.84,Celá ČR,4+1,2009-01-01 00:00:00
60,1001-0-2009-1,1001,2009,1,0,4357139.114,96.8,98.3,102.3,11.62,Praha,všechny byty,2009-01-01 00:00:00
61,1003-0-2009-1,1003,2009,1,0,1566946.303,41.3,41.9,43.7,4.95,Jihočeský,všechny byty,2009-01-01 00:00:00
62,1004-0-2009-1,1004,2009,1,0,1630827.54,44.2,44.9,46.7,5.3,Pardubický,všechny byty,2009-01-01 00:00:00
63,1005-0-2009-1,1005,2009,1,0,1674446.323,45.5,46.1,48.0,5.45,Královéhradecký,všechny byty,2009-01-01 00:00:00
64,1006-0-2009-1,1006,2009,1,0,1347983.5880000002,34.8,35.3,36.8,4.17,Vysočina,všechny byty,2009-01-01 00:00:00
65,1007-0-2009-1,1007,2009,1,0,1608480.7319999998,45.5,46.2,48.1,5.46,Karlovarský,všechny byty,2009-01-01 00:00:00
66,1008-0-2009-1,1008,2009,1,0,1367813.364,37.4,38.0,39.6,4.49,Liberecký,všechny byty,2009-01-01 00:00:00
67,1010-0-2009-1,1010,2009,1,0,1755982.965,44.8,45.5,47.3,5.37,Plzeňský,všechny byty,2009-01-01 00:00:00
68,1011-0-2009-1,1011,2009,1,0,2063403.072,48.7,49.4,51.4,5.84,Středočeský,všechny byty,2009-01-01 00:00:00
69,1013-0-2009-1,1013,2009,1,0,879799.6296,24.3,24.7,25.7,2.92,Ústecký,všechny byty,2009-01-01 00:00:00
70,2002-0-2009-1,2002,2009,1,0,2119614.708,57.3,58.2,60.5,6.87,Jihomoravský,všechny byty,2009-01-01 00:00:00
71,2009-0-2009-1,2009,2009,1,0,1568881.741,43.6,44.3,46.1,5.23,Olomoucký,všechny byty,2009-01-01 00:00:00
72,2012-0-2009-1,2012,2009,1,0,1257954.669,35.8,36.4,37.8,4.29,Moravskoslezský,všechny byty,2009-01-01 00:00:00
73,2014-0-2009-1,2014,2009,1,0,1560945.3269999998,41.7,42.4,44.1,5.0,Zlínský,všechny byty,2009-01-01 00:00:00
74,0-0-2009-1,0,2009,1,0,2111441.0,51.0,51.7,53.9,6.11,Celá ČR,všechny byty,2009-01-01 00:00:00
75,1001-113-2009-2,1001,2009,2,113,2561745.065,56.1,57.1,59.7,6.74,Praha,1+1,2009-02-01 00:00:00
76,1003-113-2009-2,1003,2009,2,113,1330586.73,34.9,35.5,37.1,4.18,Jihočeský,1+1,2009-02-01 00:00:00
77,1004-113-2009-2,1004,2009,2,113,1141754.712,30.7,31.3,32.7,3.69,Pardubický,1+1,2009-02-01 00:00:00
78,1005-113-2009-2,1005,2009,2,113,1145876.193,30.8,31.4,32.8,3.7,Královéhradecký,1+1,2009-02-01 00:00:00
