,kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb,kraj,byt,datum
119,1004-133-2009-2,1004,2009,2,133,2955316.0,79.6,81.0,84.6,9.55,Pardubický,4+1,2009-02-01 00:00:00
120,1005-133-2009-2,1005,2009,2,133,2703972.35,72.7,74.0,77.3,8.73,Královéhradecký,4+1,2009-02-01 00:00:00
121,1006-133-2009-2,1006,2009,2,133,,,,,,Vysočina,4+1,2009-02-01 00:00:00
122,1007-133-2009-2,1007,2009,2,133,2697455.0,75.7,77.1,80.6,9.09,Karlovarský,4+1,2009-02-01 00:00:00
123,1008-133-2009-2,1008,2009,2,133,2083667.0,56.6,57.6,60.2,6.79,Liberecký,4+1,2009-02-01 00:00:00
124,1010-133-2009-2,1010,2009,2,133,2075079.167,52.8,53.7,56.1,6.33,Plzeňský,4+1,2009-02-01 00:00:00
125,1011-133-2009-2,1011,2009,2,133,3219258.753,75.1,76.4,79.8,9.01,Středočeský,4+1,2009-02-01 00:00:00
126,1013-133-2009-2,1013,2009,2,133,1220216.742,33.6,34.2,35.7,4.03,Ústecký,4+1,2009-02-01 00:00:00
127,2002-133-2009-2,2002,2009,2,133,3414221.2410000004,91.3,92.9,97.1,10.96,Jihomoravský,4+1,2009-02-01 00:00:00
128,2009-133-2009-2,2009,2009,2,133,2324435.673,64.3,65.4,68.4,7.72,Olomoucký,4+1,2009-02-01 00:00:00
129,2012-133-2009-2,2012,2009,2,133,1870131.269,52.9,53.8,56.3,6.35,Moravskoslezský,4+1,2009-02-01 00:00:00
130,2014-133-2009-2,2014,2009,2,133,2516750.0,66.5,67.7,70.8,7.99,Zlínský,4+1,2009-02-01 00:00:00
131,0-113-2009-2,0,2009,2,113,1266060.0,30.3,30.9,32.3,3.64,Celá ČR,1+1,2009-02-01 00:00:00
132,0-123-2009-2,0,2009,2,123,1597639.0,38.3,39.0,40.7,4.59,Celá ČR,2+1,2009-02-01 00:00:00
133,0-126-2009-2,0,2009,2,126,1956262.0,46.9,47.7,49.9,5.63,Celá ČR,3+1,2009-02-01 00:00:00
134,0-133-2009-2,0,2009,2,133,2690655.0,64.5,65.6,68.6,7.74,Celá ČR,4+1,2009-02-01 00:00:00
135,1001-0-2009-2,1001,2009,2,0,4362961.646000001,95.6,97.3,101.7,11.48,Praha,všechny byty,2009-02-01 00:00:00
136,1003-0-2009-2,1003,2009,2,0,1592929.2780000002,41.7,42.5,44.4,5.01,Jihočeský,všechny byty,2009-02-01 00:00:00
137,1004-0-2009-2,1004,2009,2,0,1667419.7240000002,44.9,45.7,47.8,5.39,Pardubický,všechny byty,2009-02-01 00:00:00
138,1005-0-2009-2,1005,2009,2,0,1780742.358,47.9,48.7,50.9,5.75,Královéhradecký,všechny byty,2009-02-01 00:00:00
139,1006-0-2009-2,1006,2009,2,0,1416815.144,36.3,36.9,38.6,4.36,Vysočina,všechny byty,2009-02-01 00:00:00
140,1007-0-2009-2,1007,2009,2,0,1595241.14,44.8,45.6,47.6,5.38,Karlovarský,všechny byty,2009-02-01 00:00:00
141,1008-0-2009-2,1008,2009,2,0,1375666.8590000002,37.4,38.0,39.7,4.48,Liberecký,všechny byty,2009-02-01 00:00:00
142,1010-0-2009-2,1010,2009,2,0,1966657.814,50.0,50.9,53.2,6.0,Plzeňský,všechny byty,2009-02-01 00:00:00
143,1011-0-2009-2,1011,2009,2,0,2024456.8569999998,47.2,48.0,50.2,5.67,Středočeský,všechny byty,2009-02-01 00:00:00
144,1013-0-2009-2,1013,2009,2,0,865794.8254,23.8,24.3,25.4,2.86,Ústecký,všechny byty,2009-02-01 00:00:00
145,2002-0-2009-2,2002,2009,2,0,2194609.264,58.7,59.7,62.4,7.05,Jihomoravský,všechny byty,2009-02-01 00:00:00
146,2009-0-2009-2,2009,2009,2,0,1628489.736,45.0,45.8,47.9,5.4,Olomoucký,všechny byty,2009-02-01 00:00:00
147,2012-0-2009-2,2012,2009,2,0,1283136.515,36.3,36.9,38.6,4.36,Moravskoslezský,všechny byty,2009-02-01 00:00:00
148,2014-0-2009-2,2014,2009,2,0,1605158.92,42.4,43.2,45.1,5.09,Zlínský,všechny byty,2009-02-01 00:00:00
149,0-0-2009-2,0,2009,2,0,2123373.0,50.9,51.8,54.1,6.11,Celá ČR,všechny byty,2009-02-01 00:00:00
150,1001-113-2009-3,1001,2009,3,113,2491597.127,54.1,55.0,57.7,6.47,Praha,1+1,2009-03-01 00:00:00
151,1003-113-2009-3,1003,2009,3,113,1280545.82,33.5,34.0,35.7,4.0,Jihočeský,1+1,2009-03-01 00:00:00
152,1004-113-2009-3,1004,2009,3,113,1128407.294,30.3,30.8,32.3,3.62,Pardubický,1+1,2009-03-01 00:00:00
153,1005-113-2009-3,1005,2009,3,113,1175240.7820000001,31.5,32.0,33.5,3.76,Královéhradecký,1+1,2009-03-01 00:00:00
154,1006-113-2009-3,1006,2009,3,113,891523.0,22.8,23.1,24.3,2.72,Vysočina,1+1,2009-03-01 00:00:00
155,1007-113-2009-3,1007,2009,3,113,914898.8177,25.6,26.0,27.3,3.06,Karlovarský,1+1,2009-03-01 00:00:00
156,1008-113-2009-3,1008,2009,3,113,950508.315,25.7,26.1,27.4,3.07,Liberecký,1+1,2009-03-01 00:00:00
157,1010-113-2009-3,1010,2009,3,113,1306080.0,33.3,33.8,35.5,3.97,Plzeňský,1+1,2009-03-01 00:00:00
158,1011-113-2009-3,1011,2009,3,113,1436224.174,33.3,33.8,35.5,3.98,Středočeský,1+1,2009-03-01 00:00:00
159,1013-113-2009-3,1013,2009,3,113,592251.6971,16.3,16.6,17.4,1.95,Ústecký,1+1,2009-03-01 00:00:00
160,2002-113-2009-3,2002,2009,3,113,1340710.791,35.7,36.2,38.0,4.26,Jihomoravský,1+1,2009-03-01 00:00:00
161,2009-113-2009-3,2009,2009,3,113,1127419.603,31.2,31.6,33.2,3.72,Olomoucký,1+1,2009-03-01 00:00:00
162,2012-113-2009-3,2012,2009,3,113,813551.286,23.0,23.4,24.5,2.74,Moravskoslezský,1+1,2009-03-01 00:00:00
163,2014-113-2009-3,2014,2009,3,113,1078701.713,28.4,28.8,30.2,3.39,Zlínský,1+1,2009-03-01 00:00:00
164,1001-123-2009-3,1001,2009,3,123,3548786.81,77.1,78.3,82.2,9.21,Praha,2+1,2009-03-01 00:00:00
165,1003-123-2009-3,1003,2009,3,123,1418845.75,37.1,37.7,39.6,4.43,Jihočeský,2+1,2009-03-01 00:00:00
166,1004-123-2009-3,1004,2009,3,123,1543481.1909999999,41.5,42.2,44.2,4.96,Pardubický,2+1,2009-03-01 00:00:00
167,1005-123-2009-3,1005,2009,3,123,1701041.706,45.6,46.3,48.5,5.44,Královéhradecký,2+1,2009-03-01 00:00:00
168,1006-123-2009-3,1006,2009,3,123,1257749.148,32.2,32.7,34.3,3.84,Vysočina,2+1,2009-03-01 00:00:00
169,1007-123-2009-3,1007,2009,3,123,1353219.7280000001,37.9,38.5,40.4,4.53,Karlovarský,2+1,2009-03-01 00:00:00
170,1008-123-2009-3,1008,2009,3,123,1395798.636,37.8,38.4,40.3,4.52,Liberecký,2+1,2009-03-01 00:00:00
171,1010-123-2009-3,1010,2009,3,123,1916667.0,48.8,49.6,52.0,5.83,Plzeňský,2+1,2009-03-01 00:00:00
172,1011-123-2009-3,1011,2009,3,123,1757138.3080000002,40.7,41.4,43.4,4.87,Středočeský,2+1,2009-03-01 00:00:00
173,1013-123-2009-3,1013,2009,3,123,753001.6831,20.8,21.1,22.1,2.48,Ústecký,2+1,2009-03-01 00:00:00
174,2002-123-2009-3,2002,2009,3,123,1857976.3290000001,49.4,50.2,52.7,5.91,Jihomoravský,2+1,2009-03-01 00:00:00
175,2009-123-2009-3,2009,2009,3,123,1455203.479,40.2,40.8,42.9,4.81,Olomoucký,2+1,2009-03-01 00:00:00
176,2012-123-2009-3,2012,2009,3,123,1121939.31,31.7,32.2,33.8,3.79,Moravskoslezský,2+1,2009-03-01 00:00:00
177,2014-123-2009-3,2014,2009,3,123,1495287.166,39.3,39.9,41.9,4.7,Zlínský,2+1,2009-03-01 00:00:00
178,1001-126-2009-3,1001,2009,3,126,4757307.824,103.4,105.0,110.2,12.35,Praha,3+1,2009-03-01 00:00:00
179,1003-126-2009-3,1003,2009,3,126,1724183.381,45.1,45.8,48.1,5.39,Jihočeský,3+1,2009-03-01 00:00:00
180,1004-126-2009-3,1004,2009,3,126,1801206.854,48.4,49.2,51.6,5.79,Pardubický,3+1,2009-03-01 00:00:00
181,1005-126-2009-3,1005,2009,3,126,1886848.969,50.5,51.3,53.9,6.04,Královéhradecký,3+1,2009-03-01 00:00:00
182,1006-126-2009-3,1006,2009,3,126,1587711.159,40.6,41.2,43.3,4.85,Vysočina,3+1,2009-03-01 00:00:00
183,1007-126-2009-3,1007,2009,3,126,1816311.594,50.9,51.7,54.2,6.08,Karlovarský,3+1,2009-03-01 00:00:00
184,1008-126-2009-3,1008,2009,3,126,1432630.1519999998,38.8,39.4,41.4,4.64,Liberecký,3+1,2009-03-01 00:00:00
185,1010-126-2009-3,1010,2009,3,126,2317120.0,59.0,59.9,62.9,7.05,Plzeňský,3+1,2009-03-01 00:00:00
186,1011-126-2009-3,1011,2009,3,126,2328796.216,54.0,54.8,57.5,6.45,Středočeský,3+1,2009-03-01 00:00:00
187,1013-126-2009-3,1013,2009,3,126,943994.7535,26.0,26.4,27.7,3.11,Ústecký,3+1,2009-03-01 00:00:00
188,2002-126-2009-3,2002,2009,3,126,2429554.239,64.6,65.6,68.9,7.72,Jihomoravský,3+1,2009-03-01 00:00:00
189,2009-126-2009-3,2009,2009,3,126,1792119.881,49.5,50.3,52.8,5.92,Olomoucký,3+1,2009-03-01 00:00:00
190,2012-126-2009-3,2012,2009,3,126,1364109.0369999998,38.6,39.2,41.1,4.61,Moravskoslezský,3+1,2009-03-01 00:00:00
191,2014-126-2009-3,2014,2009,3,126,1701191.6709999999,44.7,45.4,47.7,5.34,Zlínský,3+1,2009-03-01 00:00:00
192,1001-133-2009-3,1001,2009,3,133,6896120.285,149.8,152.1,159.7,17.91,Praha,4+1,2009-03-01 00:00:00
193,1003-133-2009-3,1003,2009,3,133,1879250.0,49.2,49.9,52.4,5.87,Jihočeský,4+1,2009-03-01 00:00:00
194,1004-133-2009-3,1004,2009,3,133,2934826.0,78.9,80.2,84.1,9.43,Pardubický,4+1,2009-03-01 00:00:00
195,1005-133-2009-3,1005,2009,3,133,2734176.317,73.2,74.4,78.0,8.75,Královéhradecký,4+1,2009-03-01 00:00:00
196,1006-133-2009-3,1006,2009,3,133,,,,,,Vysočina,4+1,2009-03-01 00:00:00
197,1007-133-2009-3,1007,2009,3,133,2297154.0,64.3,65.3,68.6,7.69,Karlovarský,4+1,2009-03-01 00:00:00
198,1008-133-2009-3,1008,2009,3,133,1873717.5219999999,50.8,51.5,54.1,6.06,Liberecký,4+1,2009-03-01 00:00:00
199,1010-133-2009-3,1010,2009,3,133,2067690.9719999998,52.7,53.5,56.1,6.29,Plzeňský,4+1,2009-03-01 00:00:00
200,1011-133-2009-3,1011,2009,3,133,3223893.753,74.7,75.9,79.7,8.93,Středočeský,4+1,2009-03-01 00:00:00
201,1013-133-2009-3,1013,2009,3,133,1265652.1909999999,34.9,35.4,37.2,4.17,Ústecký,4+1,2009-03-01 00:00:00
