kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb
1007-0-2009-1,1007,2009,1,0,1608480.732,45.5,46.2,48.1,5.46
1008-0-2009-1,1008,2009,1,0,1367813.364,37.4,38.0,39.6,4.49
1010-0-2009-1,1010,2009,1,0,1755982.965,44.8,45.5,47.3,5.37
1011-0-2009-1,1011,2009,1,0,2063403.072,48.7,49.4,51.4,5.84
1013-0-2009-1,1013,2009,1,0,879799.6296,24.3,24.7,25.7,2.92
2002-0-2009-1,2002,2009,1,0,2119614.708,57.3,58.2,60.5,6.87
2009-0-2009-1,2009,2009,1,0,1568881.741,43.6,44.3,46.1,5.23
2012-0-2009-1,2012,2009,1,0,1257954.669,35.8,36.4,37.8,4.29
2014-0-2009-1,2014,2009,1,0,1560945.327,41.7,42.4,44.1,5.00
0-0-2009-1,0,2009,1,0,2111441,51.0,51.7,53.9,6.11
1001-113-2009-2,1001,2009,2,113,2561745.065,56.1,57.1,59.7,6.74
1003-113-2009-2,1003,2009,2,113,1330586.73,34.9,35.5,37.1,4.18
1004-113-2009-2,1004,2009,2,113,1141754.712,30.7,31.3,32.7,3.69
1005-113-2009-2,1005,2009,2,113,1145876.193,30.8,31.4,32.8,3.70
1006-113-2009-2,1006,2009,2,113,862078,22.1,22.5,23.5,2.65
1007-113-2009-2,1007,2009,2,113,959386.3448,26.9,27.4,28.6,3.23
1008-113-2009-2,1008,2009,2,113,927359.4359,25.2,25.6,26.8,3.02
1010-113-2009-2,1010,2009,2,113,1315960,33.5,34.1,35.6,4.01
1011-113-2009-2,1011,2009,2,113,1324254.201,30.9,31.4,32.8,3.70
1013-113-2009-2,1013,2009,2,113,532250.9725,14.7,14.9,15.6,1.76
2002-113-2009-2,2002,2009,2,113,1333106.702,35.7,36.3,37.9,4.28
2009-113-2009-2,2009,2009,2,113,1138433.437,31.5,32.0,33.5,3.78
2012-113-2009-2,2012,2009,2,113,831360.5853,23.5,23.9,25.0,2.82
2014-113-2009-2,2014,2009,2,113,1033329.443,27.3,27.8,29.1,3.28
1001-123-2009-2,1001,2009,2,123,3762757.159,82.5,83.9,87.7,9.90
1003-123-2009-2,1003,2009,2,123,1459908.275,38.2,38.9,40.7,4.59
1004-123-2009-2,1004,2009,2,123,1508004.17,40.6,41.3,43.2,4.87
1005-123-2009-2,1005,2009,2,123,1644737.751,44.2,45.0,47.0,5.31
1006-123-2009-2,1006,2009,2,123,1275578.881,32.7,33.3,34.8,3.92
1007-123-2009-2,1007,2009,2,123,1360944.623,38.2,38.9,40.6,4.59
1008-123-2009-2,1008,2009,2,123,1363527.476,37.0,37.7,39.4,4.44
1010-123-2009-2,1010,2009,2,123,1853684,47.1,48.0,50.1,5.66
1011-123-2009-2,1011,2009,2,123,1792538.109,41.8,42.5,44.5,5.02
1013-123-2009-2,1013,2009,2,123,772063.5386,21.3,21.6,22.6,2.55
2002-123-2009-2,2002,2009,2,123,1865280.624,49.9,50.8,53.1,5.99
2009-123-2009-2,2009,2009,2,123,1452694.289,40.2,40.9,42.7,4.82
2012-123-2009-2,2012,2009,2,123,1149809.124,32.5,33.1,34.6,3.90
2014-123-2009-2,2014,2009,2,123,1509083.406,39.9,40.6,42.4,4.79
1001-126-2009-2,1001,2009,2,126,5037488.012,110.4,112.3,117.4,13.25
1003-126-2009-2,1003,2009,2,126,1686044.977,44.2,44.9,47.0,5.30
1004-126-2009-2,1004,2009,2,126,1815504.066,48.9,49.7,52.0,5.87
1005-126-2009-2,1005,2009,2,126,2030081.292,54.6,55.6,58.1,6.55
1006-126-2009-2,1006,2009,2,126,1607412.304,41.2,41.9,43.8,4.94
1007-126-2009-2,1007,2009,2,126,1873189.974,52.6,53.5,55.9,6.31
1008-126-2009-2,1008,2009,2,126,1424884.74,38.7,39.4,41.2,4.64
1010-126-2009-2,1010,2009,2,126,2382345,60.6,61.6,64.4,7.27
1011-126-2009-2,1011,2009,2,126,2356096.523,54.9,55.9,58.4,6.59
1013-126-2009-2,1013,2009,2,126,962700.8015,26.5,27.0,28.2,3.18
2002-126-2009-2,2002,2009,2,126,2475396.185,66.2,67.4,70.4,7.95
2009-126-2009-2,2009,2009,2,126,1778706.708,49.2,50.1,52.3,5.90
2012-126-2009-2,2012,2009,2,126,1416617.662,40.1,40.8,42.6,4.81
2014-126-2009-2,2014,2009,2,126,1718121.759,45.4,46.2,48.3,5.45
1001-133-2009-2,1001,2009,2,133,7671042.805,168.1,171.1,178.8,20.19
1003-133-2009-2,1003,2009,2,133,1791235,46.9,47.7,49.9,5.63
1004-133-2009-2,1004,2009,2,133,2955316,79.6,81.0,84.6,9.55
1005-133-2009-2,1005,2009,2,133,2703972.35,72.7,74.0,77.3,8.73
1006-133-2009-2,1006,2009,2,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2009-2,1007,2009,2,133,2697455,75.7,77.1,80.6,9.09
1008-133-2009-2,1008,2009,2,133,2083667,56.6,57.6,60.2,6.79
1010-133-2009-2,1010,2009,2,133,2075079.167,52.8,53.7,56.1,6.33
1011-133-2009-2,1011,2009,2,133,3219258.753,75.1,76.4,79.8,9.01
1013-133-2009-2,1013,2009,2,133,1220216.742,33.6,34.2,35.7,4.03
2002-133-2009-2,2002,2009,2,133,3414221.241,91.3,92.9,97.1,10.96
