kraj-druh-R-M,id_kraj,rok,mesic,druh,cena,fdbi70,fdbi85,fdbi100,pdb
0-113-2010-4,0,2010,4,113,1032564,22.0,22.6,24.0,2.74
0-123-2010-4,0,2010,4,123,1380967,29.4,30.2,32.1,3.66
0-126-2010-4,0,2010,4,126,1627446,34.6,35.6,37.8,4.32
0-133-2010-4,0,2010,4,133,2151193,45.8,47.1,49.9,5.71
1001-0-2010-4,1001,2010,4,0,3907924.715,71.8,73.8,78.3,8.95
1003-0-2010-4,1003,2010,4,0,1438635.119,33.9,34.9,37.0,4.23
1004-0-2010-4,1004,2010,4,0,1558283.776,37.2,38.3,40.6,4.64
1005-0-2010-4,1005,2010,4,0,1476038.876,34.6,35.6,37.7,4.31
1006-0-2010-4,1006,2010,4,0,1246853.726,27.9,28.7,30.4,3.48
1007-0-2010-4,1007,2010,4,0,1405407.326,34.7,35.7,37.9,4.33
1008-0-2010-4,1008,2010,4,0,1233936.902,29.7,30.6,32.4,3.70
1010-0-2010-4,1010,2010,4,0,1565920.702,36.4,37.4,39.7,4.54
1011-0-2010-4,1011,2010,4,0,1892003.912,37.9,39.0,41.4,4.73
1013-0-2010-4,1013,2010,4,0,741083.7926,18.7,19.2,20.4,2.32
2002-0-2010-4,2002,2010,4,0,2068117.002,46.9,48.3,51.2,5.85
2009-0-2010-4,2009,2010,4,0,1409492.953,35.3,36.3,38.5,4.39
2012-0-2010-4,2012,2010,4,0,1080860.319,27.2,28.0,29.7,3.39
2014-0-2010-4,2014,2010,4,0,1499364.72,34.2,35.1,37.3,4.26
0-0-2010-4,0,2010,4,0,1783031,37.9,39.0,41.4,4.73
1001-113-2010-5,1001,2010,5,113,2409124.417,43.7,45.2,48.1,5.51
1003-113-2010-5,1003,2010,5,113,992983.1656,23.1,23.9,25.4,2.91
1004-113-2010-5,1004,2010,5,113,1009866.536,23.7,24.5,26.1,2.99
1005-113-2010-5,1005,2010,5,113,987539.7123,22.8,23.6,25.1,2.88
1006-113-2010-5,1006,2010,5,113,880055,19.3,20.0,21.2,2.43
1007-113-2010-5,1007,2010,5,113,837411.3514,20.4,21.0,22.4,2.56
1008-113-2010-5,1008,2010,5,113,792228.8297,18.8,19.5,20.7,2.37
1010-113-2010-5,1010,2010,5,113,1134333,25.9,26.8,28.5,3.26
1011-113-2010-5,1011,2010,5,113,1252680.185,24.8,25.6,27.3,3.12
1013-113-2010-5,1013,2010,5,113,486043.8413,12.1,12.5,13.3,1.52
2002-113-2010-5,2002,2010,5,113,1290386.731,28.8,29.7,31.6,3.62
2009-113-2010-5,2009,2010,5,113,935961.7576,23.1,23.9,25.4,2.91
2012-113-2010-5,2012,2010,5,113,681890.1366,16.9,17.5,18.6,2.13
2014-113-2010-5,2014,2010,5,113,934615.8926,21.0,21.7,23.1,2.65
1001-123-2010-5,1001,2010,5,123,3364904.507,61.1,63.1,67.2,7.69
1003-123-2010-5,1003,2010,5,123,1291248.872,30.1,31.1,33.1,3.79
1004-123-2010-5,1004,2010,5,123,1341904.337,31.5,32.6,34.7,3.97
1005-123-2010-5,1005,2010,5,123,1426245.266,33.0,34.1,36.3,4.15
1006-123-2010-5,1006,2010,5,123,1171050.784,25.7,26.5,28.3,3.24
1007-123-2010-5,1007,2010,5,123,1263344.53,30.7,31.7,33.8,3.87
1008-123-2010-5,1008,2010,5,123,1116860.279,26.5,27.4,29.2,3.34
1010-123-2010-5,1010,2010,5,123,1484208,33.9,35.0,37.3,4.27
1011-123-2010-5,1011,2010,5,123,1746066.607,34.6,35.7,38.0,4.35
1013-123-2010-5,1013,2010,5,123,737020.8489,18.3,18.9,20.1,2.30
2002-123-2010-5,2002,2010,5,123,1864503.685,41.6,42.9,45.7,5.23
2009-123-2010-5,2009,2010,5,123,1213989.561,30.0,30.9,32.9,3.77
2012-123-2010-5,2012,2010,5,123,952229.4906,23.6,24.4,26.0,2.97
2014-123-2010-5,2014,2010,5,123,1388769.353,31.3,32.3,34.4,3.94
1001-126-2010-5,1001,2010,5,126,4658327.052,84.5,87.3,93.0,10.65
1003-126-2010-5,1003,2010,5,126,1466807.194,34.2,35.3,37.6,4.30
1004-126-2010-5,1004,2010,5,126,1660224.478,39.0,40.3,42.9,4.91
1005-126-2010-5,1005,2010,5,126,1621579.756,37.5,38.7,41.2,4.72
1006-126-2010-5,1006,2010,5,126,1312826,28.8,29.8,31.7,3.63
1007-126-2010-5,1007,2010,5,126,1566627.981,38.1,39.4,41.9,4.80
1008-126-2010-5,1008,2010,5,126,1334213.328,31.7,32.8,34.9,3.99
1010-126-2010-5,1010,2010,5,126,1632988.205,37.3,38.5,41.0,4.70
1011-126-2010-5,1011,2010,5,126,2103487.463,41.7,43.0,45.8,5.25
1013-126-2010-5,1013,2010,5,126,854928.0834,21.2,21.9,23.4,2.67
2002-126-2010-5,2002,2010,5,126,2108633.942,47.0,48.5,51.7,5.92
2009-126-2010-5,2009,2010,5,126,1478353.568,36.5,37.7,40.1,4.59
2012-126-2010-5,2012,2010,5,126,1170126.136,29.0,30.0,31.9,3.65
2014-126-2010-5,2014,2010,5,126,1725572.048,38.9,40.1,42.7,4.90
1001-133-2010-5,1001,2010,5,133,5783360.606,105.0,108.4,115.4,13.23
1003-133-2010-5,1003,2010,5,133,2372001.449,55.3,57.1,60.8,6.96
1004-133-2010-5,1004,2010,5,133,2317040,54.4,56.2,59.8,6.86
1005-133-2010-5,1005,2010,5,133,2256195.704,52.2,53.9,57.4,6.57
1006-133-2010-5,1006,2010,5,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2010-5,1007,2010,5,133,2261791.51,55.0,56.8,60.5,6.93
1008-133-2010-5,1008,2010,5,133,1987302.576,47.2,48.8,51.9,5.95
1010-133-2010-5,1010,2010,5,133,2493875,56.9,58.8,62.6,7.17
1011-133-2010-5,1011,2010,5,133,3552305.828,70.3,72.7,77.4,8.86
1013-133-2010-5,1013,2010,5,133,801810.991,19.9,20.6,21.9,2.51
2002-133-2010-5,2002,2010,5,133,3519571.097,78.4,81.0,86.3,9.88
2009-133-2010-5,2009,2010,5,133,2188307.396,54.0,55.8,59.4,6.80
2012-133-2010-5,2012,2010,5,133,1569624.841,38.9,40.2,42.8,4.90
2014-133-2010-5,2014,2010,5,133,2233651.399,50.3,52.0,55.3,6.34
0-113-2010-5,0,2010,5,113,961841,20.2,20.8,22.2,2.54
0-123-2010-5,0,2010,5,123,1312723,27.5,28.4,30.3,3.47
0-126-2010-5,0,2010,5,126,1563209,32.8,33.9,36.0,4.13
0-133-2010-5,0,2010,5,133,2104078,44.1,45.6,48.5,5.56
1001-0-2010-5,1001,2010,5,0,3896350.362,70.7,73.0,77.8,8.91
1003-0-2010-5,1003,2010,5,0,1469906.736,34.2,35.4,37.7,4.31
1004-0-2010-5,1004,2010,5,0,1507626.755,35.4,36.6,38.9,4.46
1005-0-2010-5,1005,2010,5,0,1477841.755,34.2,35.3,37.6,4.30
1006-0-2010-5,1006,2010,5,0,1287073.831,28.2,29.2,31.1,3.56
1007-0-2010-5,1007,2010,5,0,1390889.555,33.8,35.0,37.2,4.26
1008-0-2010-5,1008,2010,5,0,1222490.537,29.1,30.0,32.0,3.66
1010-0-2010-5,1010,2010,5,0,1529133.929,34.9,36.1,38.4,4.40
1011-0-2010-5,1011,2010,5,0,1930688.302,38.2,39.5,42.0,4.82
1013-0-2010-5,1013,2010,5,0,754000.2699,18.7,19.4,20.6,2.36
2002-0-2010-5,2002,2010,5,0,2016158.229,44.9,46.4,49.4,5.66
2009-0-2010-5,2009,2010,5,0,1367491.809,33.7,34.9,37.1,4.25
2012-0-2010-5,2012,2010,5,0,1061799.258,26.3,27.2,28.9,3.31
2014-0-2010-5,2014,2010,5,0,1531702.378,34.5,35.6,37.9,4.34
0-0-2010-5,0,2010,5,0,1682136,35.3,36.4,38.8,4.44
1001-113-2010-6,1001,2010,6,113,2362731.231,42.4,42.9,46.6,5.39
1003-113-2010-6,1003,2010,6,113,977070.2362,22.5,22.8,24.7,2.86
1004-113-2010-6,1004,2010,6,113,999795.9286,23.1,23.3,25.4,2.93
1005-113-2010-6,1005,2010,6,113,1047500.992,23.9,24.2,26.3,3.04
1006-113-2010-6,1006,2010,6,113,872345,18.8,19.0,20.6,2.39
1007-113-2010-6,1007,2010,6,113,818234.7171,19.6,19.8,21.5,2.49
1008-113-2010-6,1008,2010,6,113,817809.381,19.2,19.4,21.1,2.44
1010-113-2010-6,1010,2010,6,113,1152500,25.8,26.2,28.4,3.29
1011-113-2010-6,1011,2010,6,113,1202864.437,23.5,23.8,25.9,2.99
1013-113-2010-6,1013,2010,6,113,491436.4042,12.0,12.2,13.2,1.53
2002-113-2010-6,2002,2010,6,113,1276264.115,27.9,28.3,30.7,3.55
2009-113-2010-6,2009,2010,6,113,911068.528,22.2,22.4,24.4,2.82
2012-113-2010-6,2012,2010,6,113,691854.2932,16.9,17.1,18.5,2.14
2014-113-2010-6,2014,2010,6,113,933695.1848,20.8,21.0,22.8,2.64
1001-123-2010-6,1001,2010,6,123,3265476.114,58.5,59.3,64.4,7.46
1003-123-2010-6,1003,2010,6,123,1259720.333,29.0,29.3,31.9,3.69
1004-123-2010-6,1004,2010,6,123,1338756.788,30.9,31.3,34.0,3.93
1005-123-2010-6,1005,2010,6,123,1388543.436,31.7,32.1,34.8,4.03
1006-123-2010-6,1006,2010,6,123,1173201.881,25.2,25.6,27.7,3.21
1007-123-2010-6,1007,2010,6,123,1251169.607,30.0,30.3,32.9,3.81
1008-123-2010-6,1008,2010,6,123,1143623.921,26.8,27.2,29.5,3.41
1010-123-2010-6,1010,2010,6,123,1477807,33.1,33.5,36.4,4.22
1011-123-2010-6,1011,2010,6,123,1740224.966,34.0,34.4,37.4,4.33
1013-123-2010-6,1013,2010,6,123,726406.4224,17.8,18.0,19.6,2.26
2002-123-2010-6,2002,2010,6,123,1853263.637,40.5,41.0,44.6,5.16
2009-123-2010-6,2009,2010,6,123,1229171.069,29.9,30.3,32.9,3.81
2012-123-2010-6,2012,2010,6,123,944179.8996,23.0,23.3,25.3,2.93
2014-123-2010-6,2014,2010,6,123,1370733.763,30.5,30.9,33.5,3.88
1001-126-2010-6,1001,2010,6,126,4637735.794,83.1,84.2,91.4,10.59
1003-126-2010-6,1003,2010,6,126,1429518.219,32.9,33.3,36.2,4.19
1004-126-2010-6,1004,2010,6,126,1677572.141,38.7,39.2,42.6,4.93
1005-126-2010-6,1005,2010,6,126,1565298.243,35.7,36.2,39.3,4.55
1006-126-2010-6,1006,2010,6,126,1287253.09,27.7,28.0,30.4,3.52
1007-126-2010-6,1007,2010,6,126,1527956.62,36.6,37.0,40.2,4.66
1008-126-2010-6,1008,2010,6,126,1369946.81,32.1,32.5,35.3,4.09
1010-126-2010-6,1010,2010,6,126,1609902.068,36.1,36.5,39.7,4.59
1011-126-2010-6,1011,2010,6,126,2114236.887,41.3,41.9,45.5,5.26
1013-126-2010-6,1013,2010,6,126,851216.2235,20.8,21.1,22.9,2.65
2002-126-2010-6,2002,2010,6,126,2024796.146,44.3,44.8,48.7,5.64
2009-126-2010-6,2009,2010,6,126,1465676.093,35.7,36.1,39.2,4.54
2012-126-2010-6,2012,2010,6,126,1159983.357,28.3,28.6,31.1,3.60
2014-126-2010-6,2014,2010,6,126,1709722.101,38.1,38.5,41.8,4.85
1001-133-2010-6,1001,2010,6,133,6159061.854,110.4,111.8,121.4,14.07
1003-133-2010-6,1003,2010,6,133,2367615.053,54.5,55.2,59.9,6.94
1004-133-2010-6,1004,2010,6,133,2307476,53.2,53.9,58.5,6.78
1005-133-2010-6,1005,2010,6,133,2296391.095,52.4,53.1,57.6,6.68
1006-133-2010-6,1006,2010,6,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2010-6,1007,2010,6,133,2295807.47,55.0,55.7,60.5,7.00
1008-133-2010-6,1008,2010,6,133,1895058.077,44.5,45.0,48.9,5.66
1010-133-2010-6,1010,2010,6,133,2576417,57.7,58.5,63.5,7.36
1011-133-2010-6,1011,2010,6,133,3580328.828,70.0,70.9,77.0,8.92
1013-133-2010-6,1013,2010,6,133,778906.9607,19.1,19.3,21.0,2.43
2002-133-2010-6,2002,2010,6,133,3497020.637,76.5,77.5,84.1,9.75
2009-133-2010-6,2009,2010,6,133,2227243.377,54.2,54.9,59.6,6.90
2012-133-2010-6,2012,2010,6,133,1540475.543,37.6,38.0,41.3,4.78
2014-133-2010-6,2014,2010,6,133,2401597,53.4,54.1,58.8,6.81
0-113-2010-6,0,2010,6,113,965632,19.9,20.2,21.9,2.54
0-123-2010-6,0,2010,6,123,1309968,27.1,27.4,29.7,3.44
0-126-2010-6,0,2010,6,126,1564208,32.3,32.7,35.5,4.11
0-133-2010-6,0,2010,6,133,2131136,44.0,44.6,48.4,5.61
1001-0-2010-6,1001,2010,6,0,3871148.459,69.4,70.3,76.3,8.84
1003-0-2010-6,1003,2010,6,0,1440324.863,33.1,33.6,36.4,4.22
1004-0-2010-6,1004,2010,6,0,1512099.651,34.9,35.3,38.4,4.44
1005-0-2010-6,1005,2010,6,0,1456369.136,33.2,33.7,36.6,4.23
1006-0-2010-6,1006,2010,6,0,1207913.532,26.0,26.3,28.6,3.31
1007-0-2010-6,1007,2010,6,0,1372263.243,32.9,33.3,36.1,4.18
1008-0-2010-6,1008,2010,6,0,1243127.278,29.2,29.5,32.1,3.71
1010-0-2010-6,1010,2010,6,0,1525480.839,34.2,34.6,37.6,4.35
1011-0-2010-6,1011,2010,6,0,1927312.137,37.7,38.2,41.4,4.80
1013-0-2010-6,1013,2010,6,0,746982.3857,18.3,18.5,20.1,2.33
2002-0-2010-6,2002,2010,6,0,1968201.864,43.1,43.6,47.3,5.48
2009-0-2010-6,2009,2010,6,0,1364950.366,33.2,33.6,36.5,4.23
2012-0-2010-6,2012,2010,6,0,1053772.31,25.7,26.0,28.2,3.27
2014-0-2010-6,2014,2010,6,0,1529642.41,34.0,34.5,37.4,4.33
0-0-2010-6,0,2010,6,0,1680801,34.7,35.1,38.2,4.42
1001-113-2010-7,1001,2010,7,113,2205753.014,39.1,39.8,43.5,5.03
1003-113-2010-7,1003,2010,7,113,992000.454,22.6,23.0,25.1,2.90
1004-113-2010-7,1004,2010,7,113,982500.6029,22.3,22.7,24.8,2.86
1005-113-2010-7,1005,2010,7,113,1088409.193,24.6,25.0,27.3,3.15
1006-113-2010-7,1006,2010,7,113,907555,19.2,19.5,21.3,2.46
1007-113-2010-7,1007,2010,7,113,792678.4409,18.7,19.0,20.8,2.40
1008-113-2010-7,1008,2010,7,113,826765.337,19.2,19.5,21.3,2.46
1010-113-2010-7,1010,2010,7,113,1155000,25.5,25.9,28.3,3.27
1011-113-2010-7,1011,2010,7,113,1193952.319,23.1,23.5,25.7,2.97
1013-113-2010-7,1013,2010,7,113,476784.5749,11.5,11.7,12.8,1.48
2002-113-2010-7,2002,2010,7,113,1280802.132,27.6,28.0,30.6,3.54
2009-113-2010-7,2009,2010,7,113,889344.1847,21.4,21.7,23.7,2.74
2012-113-2010-7,2012,2010,7,113,688613.424,16.5,16.8,18.4,2.12
2014-113-2010-7,2014,2010,7,113,932774.4771,20.6,20.9,22.8,2.64
1001-123-2010-7,1001,2010,7,123,3185628.68,56.5,57.4,62.8,7.27
1003-123-2010-7,1003,2010,7,123,1261476.997,28.7,29.2,31.9,3.69
1004-123-2010-7,1004,2010,7,123,1330018.063,30.2,30.7,33.6,3.88
1005-123-2010-7,1005,2010,7,123,1407298.781,31.8,32.3,35.3,4.08
1006-123-2010-7,1006,2010,7,123,1143223.881,24.2,24.5,26.8,3.10
1007-123-2010-7,1007,2010,7,123,1208285.157,28.5,29.0,31.7,3.67
1008-123-2010-7,1008,2010,7,123,1120217.765,26.0,26.4,28.9,3.34
1010-123-2010-7,1010,2010,7,123,1578026,34.8,35.4,38.7,4.47
1011-123-2010-7,1011,2010,7,123,1719400.673,33.3,33.8,37.0,4.27
1013-123-2010-7,1013,2010,7,123,729158.4725,17.6,17.9,19.6,2.26
2002-123-2010-7,2002,2010,7,123,1820938.411,39.2,39.8,43.5,5.04
2009-123-2010-7,2009,2010,7,123,1227090.17,29.5,30.0,32.8,3.79
2012-123-2010-7,2012,2010,7,123,933229.2932,22.4,22.8,24.9,2.88
2014-123-2010-7,2014,2010,7,123,1355826.795,29.9,30.4,33.2,3.84
1001-126-2010-7,1001,2010,7,126,4611561.511,81.8,83.2,90.9,10.52
1003-126-2010-7,1003,2010,7,126,1457223.159,33.2,33.7,36.9,4.26
1004-126-2010-7,1004,2010,7,126,1655657.933,37.6,38.2,41.8,4.83
1005-126-2010-7,1005,2010,7,126,1578058.538,35.6,36.2,39.6,4.58
1006-126-2010-7,1006,2010,7,126,1279697.076,27.0,27.5,30.0,3.47
1007-126-2010-7,1007,2010,7,126,1520660.475,35.9,36.5,39.9,4.61
1008-126-2010-7,1008,2010,7,126,1332557.661,30.9,31.4,34.3,3.97
1010-126-2010-7,1010,2010,7,126,1880569.942,41.5,42.1,46.1,5.33
1011-126-2010-7,1011,2010,7,126,2136424.043,41.3,42.0,45.9,5.31
1013-126-2010-7,1013,2010,7,126,850665.9925,20.6,20.9,22.9,2.64
2002-126-2010-7,2002,2010,7,126,2032579.621,43.7,44.4,48.6,5.62
2009-126-2010-7,2009,2010,7,126,1399882.114,33.6,34.2,37.4,4.32
2012-126-2010-7,2012,2010,7,126,1142048.356,27.4,27.9,30.5,3.52
2014-126-2010-7,2014,2010,7,126,1720596.705,37.9,38.5,42.1,4.87
1001-133-2010-7,1001,2010,7,133,5727928.761,101.7,103.3,112.9,13.07
1003-133-2010-7,1003,2010,7,133,2123711.815,48.4,49.1,53.7,6.21
1004-133-2010-7,1004,2010,7,133,2344663,53.2,54.1,59.2,6.84
1005-133-2010-7,1005,2010,7,133,2289888.132,51.7,52.5,57.4,6.64
1006-133-2010-7,1006,2010,7,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2010-7,1007,2010,7,133,2147588.557,50.7,51.5,56.4,6.52
1008-133-2010-7,1008,2010,7,133,1909429.288,44.3,45.0,49.2,5.69
1010-133-2010-7,1010,2010,7,133,2528308,55.7,56.6,61.9,7.16
1011-133-2010-7,1011,2010,7,133,3430143.393,66.4,67.4,73.7,8.53
1013-133-2010-7,1013,2010,7,133,777219.5079,18.8,19.1,20.9,2.41
2002-133-2010-7,2002,2010,7,133,3584015.819,77.1,78.4,85.7,9.91
2009-133-2010-7,2009,2010,7,133,2257022.478,54.2,55.1,60.3,6.97
2012-133-2010-7,2012,2010,7,133,1584684.458,38.1,38.7,42.3,4.89
2014-133-2010-7,2014,2010,7,133,2382841.366,52.5,53.4,58.3,6.75
0-113-2010-7,0,2010,7,113,946758,19.3,19.6,21.4,2.48
0-123-2010-7,0,2010,7,123,1303920,26.6,27.0,29.5,3.41
0-126-2010-7,0,2010,7,126,1559593,31.8,32.3,35.3,4.08
0-133-2010-7,0,2010,7,133,2108664,43.0,43.7,47.8,5.52
1001-0-2010-7,1001,2010,7,0,3773337.404,67.0,68.0,74.4,8.61
1003-0-2010-7,1003,2010,7,0,1427379.434,32.5,33.0,36.1,4.18
1004-0-2010-7,1004,2010,7,0,1475881.004,33.5,34.1,37.2,4.30
1005-0-2010-7,1005,2010,7,0,1475255.666,33.3,33.8,37.0,4.28
1006-0-2010-7,1006,2010,7,0,1195593.462,25.3,25.7,28.1,3.24
1007-0-2010-7,1007,2010,7,0,1335529.714,31.5,32.1,35.0,4.05
1008-0-2010-7,1008,2010,7,0,1222331.76,28.4,28.8,31.5,3.64
1010-0-2010-7,1010,2010,7,0,1567744.485,34.6,35.1,38.4,4.44
1011-0-2010-7,1011,2010,7,0,1918648.924,37.1,37.7,41.2,4.77
1013-0-2010-7,1013,2010,7,0,745316.3687,18.0,18.3,20.0,2.31
2002-0-2010-7,2002,2010,7,0,1969197.911,42.4,43.1,47.1,5.45
2009-0-2010-7,2009,2010,7,0,1329481.757,31.9,32.5,35.5,4.10
2012-0-2010-7,2012,2010,7,0,1044692.286,25.1,25.5,27.9,3.22
2014-0-2010-7,2014,2010,7,0,1527460.207,33.7,34.2,37.4,4.32
0-0-2010-7,0,2010,7,0,1685556,34.4,34.9,38.2,4.41
1001-113-2010-8,1001,2010,8,113,2250519.381,39.7,40.2,44.1,5.12
1003-113-2010-8,1003,2010,8,113,980101.4467,22.2,22.4,24.6,2.86
1004-113-2010-8,1004,2010,8,113,958543.4591,21.5,21.8,23.9,2.78
1005-113-2010-8,1005,2010,8,113,993378.4,22.3,22.5,24.7,2.87
1006-113-2010-8,1006,2010,8,113,871803,18.2,18.4,20.2,2.34
1007-113-2010-8,1007,2010,8,113,822987.8939,19.3,19.5,21.4,2.48
1008-113-2010-8,1008,2010,8,113,840298.6154,19.4,19.6,21.5,2.50
1010-113-2010-8,1010,2010,8,113,1069736.303,23.3,23.6,25.9,3.01
1011-113-2010-8,1011,2010,8,113,1241576.855,23.9,24.1,26.5,3.08
1013-113-2010-8,1013,2010,8,113,479729.7102,11.5,11.6,12.8,1.48
2002-113-2010-8,2002,2010,8,113,1209003.891,25.7,26.0,28.6,3.32
2009-113-2010-8,2009,2010,8,113,875068.3297,20.9,21.1,23.2,2.69
2012-113-2010-8,2012,2010,8,113,673564.8144,16.0,16.2,17.8,2.06
2014-113-2010-8,2014,2010,8,113,914975.2082,20.1,20.3,22.3,2.59
1001-123-2010-8,1001,2010,8,123,3265744.475,57.6,58.3,64.0,7.44
1003-123-2010-8,1003,2010,8,123,1275808.736,28.9,29.2,32.1,3.73
1004-123-2010-8,1004,2010,8,123,1318688.115,29.6,29.9,32.9,3.82
1005-123-2010-8,1005,2010,8,123,1346595.651,30.2,30.5,33.5,3.89
1006-123-2010-8,1006,2010,8,123,1088331.952,22.7,22.9,25.2,2.93
1007-123-2010-8,1007,2010,8,123,1279389.073,29.9,30.3,33.2,3.86
1008-123-2010-8,1008,2010,8,123,1136629.47,26.2,26.5,29.1,3.38
1010-123-2010-8,1010,2010,8,123,1678246.427,36.6,37.0,40.6,4.72
1011-123-2010-8,1011,2010,8,123,1726595.96,33.2,33.6,36.9,4.28
1013-123-2010-8,1013,2010,8,123,695932.1671,16.7,16.9,18.5,2.15
2002-123-2010-8,2002,2010,8,123,1798893.472,38.3,38.7,42.5,4.94
2009-123-2010-8,2009,2010,8,123,1220356.617,29.1,29.4,32.3,3.75
2012-123-2010-8,2012,2010,8,123,933894.0331,22.2,22.4,24.7,2.86
2014-123-2010-8,2014,2010,8,123,1317781.478,28.9,29.2,32.1,3.73
1001-126-2010-8,1001,2010,8,126,4557412.326,80.4,81.3,89.3,10.38
1003-126-2010-8,1003,2010,8,126,1386255.017,31.4,31.7,34.9,4.05
1004-126-2010-8,1004,2010,8,126,1623728.77,36.5,36.9,40.5,4.70
1005-126-2010-8,1005,2010,8,126,1555436.603,34.9,35.3,38.7,4.50
1006-126-2010-8,1006,2010,8,126,1292023.976,26.9,27.2,29.9,3.47
1007-126-2010-8,1007,2010,8,126,1623781.101,38.0,38.4,42.2,4.90
1008-126-2010-8,1008,2010,8,126,1300795.489,30.0,30.3,33.3,3.87
1010-126-2010-8,1010,2010,8,126,2001965.404,43.6,44.1,48.4,5.63
1011-126-2010-8,1011,2010,8,126,2105493.188,40.5,40.9,45.0,5.22
1013-126-2010-8,1013,2010,8,126,840981.3098,20.2,20.4,22.4,2.60
2002-126-2010-8,2002,2010,8,126,2012110.11,42.8,43.3,47.5,5.52
2009-126-2010-8,2009,2010,8,126,1411921.663,33.7,34.1,37.4,4.35
2012-126-2010-8,2012,2010,8,126,1133588.945,27.0,27.2,29.9,3.48
2014-126-2010-8,2014,2010,8,126,1692196.722,37.1,37.5,41.2,4.79
1001-133-2010-8,1001,2010,8,133,6358847.018,112.2,113.5,124.6,14.49
1003-133-2010-8,1003,2010,8,133,2033394.033,46.0,46.5,51.1,5.94
1004-133-2010-8,1004,2010,8,133,2282746,51.3,51.8,56.9,6.62
1005-133-2010-8,1005,2010,8,133,2383967.144,53.4,54.0,59.3,6.90
1006-133-2010-8,1006,2010,8,133,-,#VALUE!,#VALUE!,#VALUE!,#VALUE!
1007-133-2010-8,1007,2010,8,133,2301655.925,53.9,54.5,59.8,6.95
1008-133-2010-8,1008,2010,8,133,1741710.535,40.1,40.6,44.6,5.18
1010-133-2010-8,1010,2010,8,133,2618154,57.1,57.7,63.4,7.36
1011-133-2010-8,1011,2010,8,133,3500506.052,67.3,68.1,74.7,8.69
1013-133-2010-8,1013,2010,8,133,833061.2933,20.0,20.2,22.2,2.58
2002-133-2010-8,2002,2010,8,133,3511599.567,74.7,75.5,82.9,9.64
2009-133-2010-8,2009,2010,8,133,2352664.493,56.1,56.7,62.3,7.24
2012-133-2010-8,2012,2010,8,133,1519855.95,36.1,36.5,40.1,4.66
2014-133-2010-8,2014,2010,8,133,2364085.732,51.8,52.4,57.5,6.69
0-113-2010-8,0,2010,8,113,955733,19.3,19.5,21.4,2.49
0-123-2010-8,0,2010,8,123,1293439,26.1,26.4,29.0,3.37
0-126-2010-8,0,2010,8,126,1539606,31.1,31.5,34.5,4.01
0-133-2010-8,0,2010,8,133,2105392,42.5,43.0,47.2,5.49
1001-0-2010-8,1001,2010,8,0,3838736.416,67.7,68.5,75.2,8.74
1003-0-2010-8,1003,2010,8,0,1386414.204,31.4,31.7,34.9,4.05
1004-0-2010-8,1004,2010,8,0,1450423.836,32.6,32.9,36.2,4.20
1005-0-2010-8,1005,2010,8,0,1434178.353,32.2,32.5,35.7,4.15
1006-0-2010-8,1006,2010,8,0,1178277.693,24.6,24.8,27.3,3.17
1007-0-2010-8,1007,2010,8,0,1418804.78,33.2,33.6,36.9,4.28
1008-0-2010-8,1008,2010,8,0,1203908.35,27.7,28.0,30.8,3.58
1010-0-2010-8,1010,2010,8,0,1738663.268,37.9,38.3,42.1,4.89
1011-0-2010-8,1011,2010,8,0,1919569.897,36.9,37.3,41.0,4.76
1013-0-2010-8,1013,2010,8,0,737514.1008,17.7,17.9,19.7,2.28
2002-0-2010-8,2002,2010,8,0,1937165.909,41.2,41.7,45.8,5.32
2009-0-2010-8,2009,2010,8,0,1336743.334,31.9,32.2,35.4,4.11
2012-0-2010-8,2012,2010,8,0,1034006.293,24.6,24.9,27.3,3.17
2014-0-2010-8,2014,2010,8,0,1497593.892,32.8,33.2,36.5,4.24
0-0-2010-8,0,2010,8,0,1686492,34.1,34.5,37.8,4.40
1001-113-2010-9,1001,2010,9,113,2213804.401,38.6,38.6,42.9,5.03
1003-113-2010-9,1003,2010,9,113,961001.5296,21.5,21.5,23.9,2.80
1004-113-2010-9,1004,2010,9,113,941750.8599,20.8,20.8,23.1,2.71
1005-113-2010-9,1005,2010,9,113,976136.7158,21.6,21.6,24.0,2.81
1006-113-2010-9,1006,2010,9,113,817085,16.7,16.7,18.6,2.18
1007-113-2010-9,1007,2010,9,113,772254.2575,17.8,17.8,19.8,2.32
1008-113-2010-9,1008,2010,9,113,843930.2253,19.2,19.2,21.3,2.50
1010-113-2010-9,1010,2010,9,113,1080213.152,23.1,23.1,25.7,3.01
1011-113-2010-9,1011,2010,9,113,1218468.127,23.1,23.1,25.7,3.02
1013-113-2010-9,1013,2010,9,113,464285.1306,11.0,11.0,12.2,1.43
2002-113-2010-9,2002,2010,9,113,1207489.102,25.2,25.2,28.0,3.29
2009-113-2010-9,2009,2010,9,113,885315.5331,20.8,20.8,23.1,2.71
2012-113-2010-9,2012,2010,9,113,663540.2988,15.5,15.5,17.2,2.02
2014-113-2010-9,2014,2010,9,113,889681.5206,19.3,19.3,21.4,2.51
1001-123-2010-9,1001,2010,9,123,3214370.243,56.1,56.0,62.3,7.31
1003-123-2010-9,1003,2010,9,123,1198767.945,26.8,26.8,29.8,3.50
