kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
0,2,2010-04-01,4602656,10.54,0.84,0.87,0.92
1,2,2010-04-01,1479093,4.35,0.35,0.36,0.38
2,2,2010-04-01,1727031,5.14,0.41,0.42,0.45
3,2,2010-04-01,1606920,4.69,0.38,0.39,0.41
4,2,2010-04-01,1338398,3.73,0.30,0.31,0.33
5,2,2010-04-01,1607666,4.95,0.40,0.41,0.43
6,2,2010-04-01,1391422,4.17,0.34,0.34,0.36
7,2,2010-04-01,1630293,4.72,0.38,0.39,0.41
8,2,2010-04-01,2093456,5.23,0.42,0.43,0.46
9,2,2010-04-01,839129,2.63,0.21,0.22,0.23
10,2,2010-04-01,2192471,6.20,0.50,0.51,0.54
11,2,2010-04-01,1516089,4.73,0.38,0.39,0.41
12,2,2010-04-01,1183863,3.72,0.30,0.31,0.33
13,2,2010-04-01,1683845,4.78,0.38,0.40,0.42
0,3,2010-04-01,5829960,13.35,1.07,1.10,1.17
1,3,2010-04-01,2073993,6.10,0.49,0.50,0.53
2,3,2010-04-01,2337716,6.97,0.56,0.57,0.61
3,3,2010-04-01,2296489,6.71,0.54,0.55,0.59
5,3,2010-04-01,2186072,6.73,0.54,0.56,0.59
6,3,2010-04-01,1892975,5.68,0.46,0.47,0.50
7,3,2010-04-01,2715054,7.87,0.63,0.65,0.69
8,3,2010-04-01,3362097,8.40,0.67,0.69,0.73
9,3,2010-04-01,752465,2.36,0.19,0.20,0.21
10,3,2010-04-01,3553717,10.06,0.81,0.83,0.88
11,3,2010-04-01,2156717,6.73,0.54,0.56,0.59
12,3,2010-04-01,1671389,5.25,0.42,0.43,0.46
13,3,2010-04-01,2099294,5.96,0.48,0.49,0.52
14,0,2010-04-01,1032564,2.74,0.22,0.23,0.24
14,1,2010-04-01,1380967,3.66,0.29,0.30,0.32
14,2,2010-04-01,1627446,4.32,0.35,0.36,0.38
14,3,2010-04-01,2151193,5.71,0.46,0.47,0.50
0,4,2010-04-01,3907924,8.95,0.72,0.74,0.78
1,4,2010-04-01,1438635,4.23,0.34,0.35,0.37
2,4,2010-04-01,1558283,4.64,0.37,0.38,0.41
3,4,2010-04-01,1476038,4.31,0.35,0.36,0.38
4,4,2010-04-01,1246853,3.48,0.28,0.29,0.30
5,4,2010-04-01,1405407,4.33,0.35,0.36,0.38
6,4,2010-04-01,1233936,3.70,0.30,0.31,0.32
7,4,2010-04-01,1565920,4.54,0.36,0.37,0.40
8,4,2010-04-01,1892003,4.73,0.38,0.39,0.41
9,4,2010-04-01,741083,2.32,0.19,0.19,0.20
10,4,2010-04-01,2068117,5.85,0.47,0.48,0.51
11,4,2010-04-01,1409492,4.39,0.35,0.36,0.39
12,4,2010-04-01,1080860,3.39,0.27,0.28,0.30
13,4,2010-04-01,1499364,4.26,0.34,0.35,0.37
14,4,2010-04-01,1783031,4.73,0.38,0.39,0.41
0,0,2010-05-01,2409124,5.51,0.44,0.45,0.48
1,0,2010-05-01,992983,2.91,0.23,0.24,0.25
2,0,2010-05-01,1009866,2.99,0.24,0.24,0.26
3,0,2010-05-01,987539,2.88,0.23,0.24,0.25
4,0,2010-05-01,880055,2.43,0.19,0.20,0.21
5,0,2010-05-01,837411,2.56,0.20,0.21,0.22
6,0,2010-05-01,792228,2.37,0.19,0.20,0.21
7,0,2010-05-01,1134333,3.26,0.26,0.27,0.28
8,0,2010-05-01,1252680,3.12,0.25,0.26,0.27
9,0,2010-05-01,486043,1.52,0.12,0.13,0.13
10,0,2010-05-01,1290386,3.62,0.29,0.30,0.32
11,0,2010-05-01,935961,2.91,0.23,0.24,0.25
12,0,2010-05-01,681890,2.13,0.17,0.17,0.19
13,0,2010-05-01,934615,2.65,0.21,0.22,0.23
0,1,2010-05-01,3364904,7.69,0.61,0.63,0.67
1,1,2010-05-01,1291248,3.79,0.30,0.31,0.33
2,1,2010-05-01,1341904,3.97,0.32,0.33,0.35
3,1,2010-05-01,1426245,4.15,0.33,0.34,0.36
4,1,2010-05-01,1171050,3.24,0.26,0.27,0.28
5,1,2010-05-01,1263344,3.87,0.31,0.32,0.34
6,1,2010-05-01,1116860,3.34,0.27,0.27,0.29
7,1,2010-05-01,1484208,4.27,0.34,0.35,0.37
8,1,2010-05-01,1746066,4.35,0.35,0.36,0.38
9,1,2010-05-01,737020,2.30,0.18,0.19,0.20
10,1,2010-05-01,1864503,5.23,0.42,0.43,0.46
11,1,2010-05-01,1213989,3.77,0.30,0.31,0.33
12,1,2010-05-01,952229,2.97,0.24,0.24,0.26
13,1,2010-05-01,1388769,3.94,0.31,0.32,0.34
0,2,2010-05-01,4658327,10.65,0.84,0.87,0.93
1,2,2010-05-01,1466807,4.30,0.34,0.35,0.38
2,2,2010-05-01,1660224,4.91,0.39,0.40,0.43
3,2,2010-05-01,1621579,4.72,0.38,0.39,0.41
4,2,2010-05-01,1312826,3.63,0.29,0.30,0.32
5,2,2010-05-01,1566627,4.80,0.38,0.39,0.42
6,2,2010-05-01,1334213,3.99,0.32,0.33,0.35
7,2,2010-05-01,1632988,4.70,0.37,0.39,0.41
8,2,2010-05-01,2103487,5.25,0.42,0.43,0.46
9,2,2010-05-01,854928,2.67,0.21,0.22,0.23
10,2,2010-05-01,2108633,5.92,0.47,0.48,0.52
11,2,2010-05-01,1478353,4.59,0.36,0.38,0.40
12,2,2010-05-01,1170126,3.65,0.29,0.30,0.32
13,2,2010-05-01,1725572,4.90,0.39,0.40,0.43
0,3,2010-05-01,5783360,13.23,1.05,1.08,1.15
1,3,2010-05-01,2372001,6.96,0.55,0.57,0.61
2,3,2010-05-01,2317040,6.86,0.54,0.56,0.60
3,3,2010-05-01,2256195,6.57,0.52,0.54,0.57
5,3,2010-05-01,2261791,6.93,0.55,0.57,0.60
6,3,2010-05-01,1987302,5.95,0.47,0.49,0.52
7,3,2010-05-01,2493875,7.17,0.57,0.59,0.63
8,3,2010-05-01,3552305,8.86,0.70,0.73,0.77
9,3,2010-05-01,801810,2.51,0.20,0.21,0.22
10,3,2010-05-01,3519571,9.88,0.78,0.81,0.86
11,3,2010-05-01,2188307,6.80,0.54,0.56,0.59
12,3,2010-05-01,1569624,4.90,0.39,0.40,0.43
13,3,2010-05-01,2233651,6.34,0.50,0.52,0.55
14,0,2010-05-01,961841,2.54,0.20,0.21,0.22
14,1,2010-05-01,1312723,3.47,0.28,0.28,0.30
14,2,2010-05-01,1563209,4.13,0.33,0.34,0.36
14,3,2010-05-01,2104078,5.56,0.44,0.46,0.48
0,4,2010-05-01,3896350,8.91,0.71,0.73,0.78
1,4,2010-05-01,1469906,4.31,0.34,0.35,0.38
2,4,2010-05-01,1507626,4.46,0.35,0.37,0.39
3,4,2010-05-01,1477841,4.30,0.34,0.35,0.38
4,4,2010-05-01,1287073,3.56,0.28,0.29,0.31
5,4,2010-05-01,1390889,4.26,0.34,0.35,0.37
6,4,2010-05-01,1222490,3.66,0.29,0.30,0.32
7,4,2010-05-01,1529133,4.40,0.35,0.36,0.38
8,4,2010-05-01,1930688,4.82,0.38,0.40,0.42
9,4,2010-05-01,754000,2.36,0.19,0.19,0.21
10,4,2010-05-01,2016158,5.66,0.45,0.46,0.49
11,4,2010-05-01,1367491,4.25,0.34,0.35,0.37
12,4,2010-05-01,1061799,3.31,0.26,0.27,0.29
13,4,2010-05-01,1531702,4.34,0.34,0.36,0.38
14,4,2010-05-01,1682136,4.44,0.35,0.36,0.39
0,0,2010-06-01,2362731,5.39,0.42,0.43,0.47
1,0,2010-06-01,977070,2.86,0.23,0.23,0.25
2,0,2010-06-01,999795,2.93,0.23,0.23,0.25
3,0,2010-06-01,1047500,3.04,0.24,0.24,0.26
4,0,2010-06-01,872345,2.39,0.19,0.19,0.21
5,0,2010-06-01,818234,2.49,0.20,0.20,0.21
6,0,2010-06-01,817809,2.44,0.19,0.19,0.21
7,0,2010-06-01,1152500,3.29,0.26,0.26,0.28
8,0,2010-06-01,1202864,2.99,0.23,0.24,0.26
9,0,2010-06-01,491436,1.53,0.12,0.12,0.13
10,0,2010-06-01,1276264,3.55,0.28,0.28,0.31
11,0,2010-06-01,911068,2.82,0.22,0.22,0.24
12,0,2010-06-01,691854,2.14,0.17,0.17,0.18
13,0,2010-06-01,933695,2.64,0.21,0.21,0.23
0,1,2010-06-01,3265476,7.46,0.58,0.59,0.64
1,1,2010-06-01,1259720,3.69,0.29,0.29,0.32
2,1,2010-06-01,1338756,3.93,0.31,0.31,0.34
3,1,2010-06-01,1388543,4.03,0.32,0.32,0.35
4,1,2010-06-01,1173201,3.21,0.25,0.26,0.28
5,1,2010-06-01,1251169,3.81,0.30,0.30,0.33
6,1,2010-06-01,1143623,3.41,0.27,0.27,0.29
7,1,2010-06-01,1477807,4.22,0.33,0.34,0.36
8,1,2010-06-01,1740224,4.33,0.34,0.34,0.37
9,1,2010-06-01,726406,2.26,0.18,0.18,0.20
10,1,2010-06-01,1853263,5.16,0.41,0.41,0.45
11,1,2010-06-01,1229171,3.81,0.30,0.30,0.33
12,1,2010-06-01,944179,2.93,0.23,0.23,0.25
13,1,2010-06-01,1370733,3.88,0.30,0.31,0.34
0,2,2010-06-01,4637735,10.59,0.83,0.84,0.91
1,2,2010-06-01,1429518,4.19,0.33,0.33,0.36
2,2,2010-06-01,1677572,4.93,0.39,0.39,0.43
3,2,2010-06-01,1565298,4.55,0.36,0.36,0.39
4,2,2010-06-01,1287253,3.52,0.28,0.28,0.30
5,2,2010-06-01,1527956,4.66,0.37,0.37,0.40
6,2,2010-06-01,1369946,4.09,0.32,0.33,0.35
7,2,2010-06-01,1609902,4.59,0.36,0.36,0.40
8,2,2010-06-01,2114236,5.26,0.41,0.42,0.46
9,2,2010-06-01,851216,2.65,0.21,0.21,0.23
10,2,2010-06-01,2024796,5.64,0.44,0.45,0.49
11,2,2010-06-01,1465676,4.54,0.36,0.36,0.39
12,2,2010-06-01,1159983,3.60,0.28,0.29,0.31
13,2,2010-06-01,1709722,4.85,0.38,0.39,0.42
0,3,2010-06-01,6159061,14.07,1.10,1.12,1.21
1,3,2010-06-01,2367615,6.94,0.55,0.55,0.60
2,3,2010-06-01,2307476,6.78,0.53,0.54,0.58
3,3,2010-06-01,2296391,6.68,0.52,0.53,0.58
5,3,2010-06-01,2295807,7.00,0.55,0.56,0.60
6,3,2010-06-01,1895058,5.66,0.45,0.45,0.49
7,3,2010-06-01,2576417,7.36,0.58,0.58,0.64
8,3,2010-06-01,3580328,8.92,0.70,0.71,0.77
9,3,2010-06-01,778906,2.43,0.19,0.19,0.21
10,3,2010-06-01,3497020,9.75,0.77,0.78,0.84
11,3,2010-06-01,2227243,6.90,0.54,0.55,0.60
12,3,2010-06-01,1540475,4.78,0.38,0.38,0.41
13,3,2010-06-01,2401597,6.81,0.53,0.54,0.59
14,0,2010-06-01,965632,2.54,0.20,0.20,0.22
14,1,2010-06-01,1309968,3.44,0.27,0.27,0.30
14,2,2010-06-01,1564208,4.11,0.32,0.33,0.35
14,3,2010-06-01,2131136,5.61,0.44,0.45,0.48
0,4,2010-06-01,3871148,8.84,0.69,0.70,0.76
1,4,2010-06-01,1440324,4.22,0.33,0.34,0.36
2,4,2010-06-01,1512099,4.44,0.35,0.35,0.38
3,4,2010-06-01,1456369,4.23,0.33,0.34,0.37
4,4,2010-06-01,1207913,3.31,0.26,0.26,0.29
5,4,2010-06-01,1372263,4.18,0.33,0.33,0.36
6,4,2010-06-01,1243127,3.71,0.29,0.29,0.32
7,4,2010-06-01,1525480,4.35,0.34,0.35,0.38
8,4,2010-06-01,1927312,4.80,0.38,0.38,0.41
9,4,2010-06-01,746982,2.33,0.18,0.18,0.20
10,4,2010-06-01,1968201,5.48,0.43,0.44,0.47
11,4,2010-06-01,1364950,4.23,0.33,0.34,0.36
12,4,2010-06-01,1053772,3.27,0.26,0.26,0.28
13,4,2010-06-01,1529642,4.33,0.34,0.34,0.37
14,4,2010-06-01,1680801,4.42,0.35,0.35,0.38
0,0,2010-07-01,2205753,5.03,0.39,0.40,0.43
1,0,2010-07-01,992000,2.90,0.23,0.23,0.25
2,0,2010-07-01,982500,2.86,0.22,0.23,0.25
3,0,2010-07-01,1088409,3.15,0.25,0.25,0.27
4,0,2010-07-01,907555,2.46,0.19,0.20,0.21
5,0,2010-07-01,792678,2.40,0.19,0.19,0.21
6,0,2010-07-01,826765,2.46,0.19,0.20,0.21
7,0,2010-07-01,1155000,3.27,0.26,0.26,0.28
8,0,2010-07-01,1193952,2.97,0.23,0.23,0.26
9,0,2010-07-01,476784,1.48,0.12,0.12,0.13
10,0,2010-07-01,1280802,3.54,0.28,0.28,0.31
11,0,2010-07-01,889344,2.74,0.21,0.22,0.24
12,0,2010-07-01,688613,2.12,0.17,0.17,0.18
13,0,2010-07-01,932774,2.64,0.21,0.21,0.23
0,1,2010-07-01,3185628,7.27,0.56,0.57,0.63
1,1,2010-07-01,1261476,3.69,0.29,0.29,0.32
2,1,2010-07-01,1330018,3.88,0.30,0.31,0.34
3,1,2010-07-01,1407298,4.08,0.32,0.32,0.35
4,1,2010-07-01,1143223,3.10,0.24,0.24,0.27
5,1,2010-07-01,1208285,3.67,0.28,0.29,0.32
6,1,2010-07-01,1120217,3.34,0.26,0.26,0.29
7,1,2010-07-01,1578026,4.47,0.35,0.35,0.39
8,1,2010-07-01,1719400,4.27,0.33,0.34,0.37
9,1,2010-07-01,729158,2.26,0.18,0.18,0.20
10,1,2010-07-01,1820938,5.04,0.39,0.40,0.43
11,1,2010-07-01,1227090,3.79,0.29,0.30,0.33
12,1,2010-07-01,933229,2.88,0.22,0.23,0.25
13,1,2010-07-01,1355826,3.84,0.30,0.30,0.33
0,2,2010-07-01,4611561,10.52,0.82,0.83,0.91
1,2,2010-07-01,1457223,4.26,0.33,0.34,0.37
2,2,2010-07-01,1655657,4.83,0.38,0.38,0.42
3,2,2010-07-01,1578058,4.58,0.36,0.36,0.40
4,2,2010-07-01,1279697,3.47,0.27,0.28,0.30
5,2,2010-07-01,1520660,4.61,0.36,0.36,0.40
6,2,2010-07-01,1332557,3.97,0.31,0.31,0.34
7,2,2010-07-01,1880569,5.33,0.41,0.42,0.46
8,2,2010-07-01,2136424,5.31,0.41,0.42,0.46
9,2,2010-07-01,850665,2.64,0.21,0.21,0.23
10,2,2010-07-01,2032579,5.62,0.44,0.44,0.49
11,2,2010-07-01,1399882,4.32,0.34,0.34,0.37
12,2,2010-07-01,1142048,3.52,0.27,0.28,0.30
13,2,2010-07-01,1720596,4.87,0.38,0.39,0.42
0,3,2010-07-01,5727928,13.07,1.02,1.03,1.13
1,3,2010-07-01,2123711,6.21,0.48,0.49,0.54
2,3,2010-07-01,2344663,6.84,0.53,0.54,0.59
3,3,2010-07-01,2289888,6.64,0.52,0.53,0.57
5,3,2010-07-01,2147588,6.52,0.51,0.52,0.56
6,3,2010-07-01,1909429,5.69,0.44,0.45,0.49
7,3,2010-07-01,2528308,7.16,0.56,0.57,0.62
8,3,2010-07-01,3430143,8.53,0.66,0.67,0.74
9,3,2010-07-01,777219,2.41,0.19,0.19,0.21
10,3,2010-07-01,3584015,9.91,0.77,0.78,0.86
11,3,2010-07-01,2257022,6.97,0.54,0.55,0.60
12,3,2010-07-01,1584684,4.89,0.38,0.39,0.42
13,3,2010-07-01,2382841,6.75,0.53,0.53,0.58
14,0,2010-07-01,946758,2.48,0.19,0.20,0.21
14,1,2010-07-01,1303920,3.41,0.27,0.27,0.29
14,2,2010-07-01,1559593,4.08,0.32,0.32,0.35
14,3,2010-07-01,2108664,5.52,0.43,0.44,0.48
0,4,2010-07-01,3773337,8.61,0.67,0.68,0.74
1,4,2010-07-01,1427379,4.18,0.33,0.33,0.36
2,4,2010-07-01,1475881,4.30,0.34,0.34,0.37
3,4,2010-07-01,1475255,4.28,0.33,0.34,0.37
4,4,2010-07-01,1195593,3.24,0.25,0.26,0.28
5,4,2010-07-01,1335529,4.05,0.32,0.32,0.35
6,4,2010-07-01,1222331,3.64,0.28,0.29,0.32
7,4,2010-07-01,1567744,4.44,0.35,0.35,0.38
8,4,2010-07-01,1918648,4.77,0.37,0.38,0.41
9,4,2010-07-01,745316,2.31,0.18,0.18,0.20
10,4,2010-07-01,1969197,5.45,0.42,0.43,0.47
11,4,2010-07-01,1329481,4.10,0.32,0.33,0.35
12,4,2010-07-01,1044692,3.22,0.25,0.26,0.28
13,4,2010-07-01,1527460,4.32,0.34,0.34,0.37
14,4,2010-07-01,1685556,4.41,0.34,0.35,0.38
0,0,2010-08-01,2250519,5.12,0.40,0.40,0.44
1,0,2010-08-01,980101,2.86,0.22,0.22,0.25
2,0,2010-08-01,958543,2.78,0.21,0.22,0.24
3,0,2010-08-01,993378,2.87,0.22,0.23,0.25
4,0,2010-08-01,871803,2.34,0.18,0.18,0.20
5,0,2010-08-01,822987,2.48,0.19,0.20,0.21
6,0,2010-08-01,840298,2.50,0.19,0.20,0.21
7,0,2010-08-01,1069736,3.01,0.23,0.24,0.26
8,0,2010-08-01,1241576,3.08,0.24,0.24,0.27
9,0,2010-08-01,479729,1.48,0.12,0.12,0.13
10,0,2010-08-01,1209003,3.32,0.26,0.26,0.29
11,0,2010-08-01,875068,2.69,0.21,0.21,0.23
12,0,2010-08-01,673564,2.06,0.16,0.16,0.18
13,0,2010-08-01,914975,2.59,0.20,0.20,0.22
0,1,2010-08-01,3265744,7.44,0.58,0.58,0.64
1,1,2010-08-01,1275808,3.73,0.29,0.29,0.32
2,1,2010-08-01,1318688,3.82,0.30,0.30,0.33
3,1,2010-08-01,1346595,3.89,0.30,0.30,0.34
4,1,2010-08-01,1088331,2.93,0.23,0.23,0.25
5,1,2010-08-01,1279389,3.86,0.30,0.30,0.33
6,1,2010-08-01,1136629,3.38,0.26,0.27,0.29
7,1,2010-08-01,1678246,4.72,0.37,0.37,0.41
8,1,2010-08-01,1726595,4.28,0.33,0.34,0.37
9,1,2010-08-01,695932,2.15,0.17,0.17,0.18
10,1,2010-08-01,1798893,4.94,0.38,0.39,0.42
11,1,2010-08-01,1220356,3.75,0.29,0.29,0.32
12,1,2010-08-01,933894,2.86,0.22,0.22,0.25
13,1,2010-08-01,1317781,3.73,0.29,0.29,0.32
0,2,2010-08-01,4557412,10.38,0.80,0.81,0.89
1,2,2010-08-01,1386255,4.05,0.31,0.32,0.35
2,2,2010-08-01,1623728,4.70,0.36,0.37,0.41
3,2,2010-08-01,1555436,4.50,0.35,0.35,0.39
4,2,2010-08-01,1292023,3.47,0.27,0.27,0.30
5,2,2010-08-01,1623781,4.90,0.38,0.38,0.42
6,2,2010-08-01,1300795,3.87,0.30,0.30,0.33
7,2,2010-08-01,2001965,5.63,0.44,0.44,0.48
8,2,2010-08-01,2105493,5.22,0.41,0.41,0.45
9,2,2010-08-01,840981,2.60,0.20,0.20,0.22
10,2,2010-08-01,2012110,5.52,0.43,0.43,0.47
11,2,2010-08-01,1411921,4.35,0.34,0.34,0.37
12,2,2010-08-01,1133588,3.48,0.27,0.27,0.30
13,2,2010-08-01,1692196,4.79,0.37,0.38,0.41
0,3,2010-08-01,6358847,14.49,1.12,1.14,1.25
1,3,2010-08-01,2033394,5.94,0.46,0.47,0.51
2,3,2010-08-01,2282746,6.62,0.51,0.52,0.57
3,3,2010-08-01,2383967,6.90,0.53,0.54,0.59
5,3,2010-08-01,2301655,6.95,0.54,0.55,0.60
6,3,2010-08-01,1741710,5.18,0.40,0.41,0.45
7,3,2010-08-01,2618154,7.36,0.57,0.58,0.63
8,3,2010-08-01,3500506,8.69,0.67,0.68,0.75
9,3,2010-08-01,833061,2.58,0.20,0.20,0.22
10,3,2010-08-01,3511599,9.64,0.75,0.76,0.83
11,3,2010-08-01,2352664,7.24,0.56,0.57,0.62
12,3,2010-08-01,1519855,4.66,0.36,0.36,0.40
13,3,2010-08-01,2364085,6.69,0.52,0.52,0.57
14,0,2010-08-01,955733,2.49,0.19,0.20,0.21
14,1,2010-08-01,1293439,3.37,0.26,0.26,0.29
14,2,2010-08-01,1539606,4.01,0.31,0.32,0.34
14,3,2010-08-01,2105392,5.49,0.42,0.43,0.47
0,4,2010-08-01,3838736,8.74,0.68,0.69,0.75
1,4,2010-08-01,1386414,4.05,0.31,0.32,0.35
2,4,2010-08-01,1450423,4.20,0.33,0.33,0.36
3,4,2010-08-01,1434178,4.15,0.32,0.33,0.36
4,4,2010-08-01,1178277,3.17,0.25,0.25,0.27
5,4,2010-08-01,1418804,4.28,0.33,0.34,0.37
6,4,2010-08-01,1203908,3.58,0.28,0.28,0.31
7,4,2010-08-01,1738663,4.89,0.38,0.38,0.42
8,4,2010-08-01,1919569,4.76,0.37,0.37,0.41
9,4,2010-08-01,737514,2.28,0.18,0.18,0.20
10,4,2010-08-01,1937165,5.32,0.41,0.42,0.46
11,4,2010-08-01,1336743,4.11,0.32,0.32,0.35
12,4,2010-08-01,1034006,3.17,0.25,0.25,0.27
13,4,2010-08-01,1497593,4.24,0.33,0.33,0.36
14,4,2010-08-01,1686492,4.40,0.34,0.34,0.38
0,0,2010-09-01,2213804,5.03,0.39,0.39,0.43
1,0,2010-09-01,961001,2.80,0.21,0.21,0.24
2,0,2010-09-01,941750,2.71,0.21,0.21,0.23
3,0,2010-09-01,976136,2.81,0.22,0.22,0.24
4,0,2010-09-01,817085,2.18,0.17,0.17,0.19
5,0,2010-09-01,772254,2.32,0.18,0.18,0.20
6,0,2010-09-01,843930,2.50,0.19,0.19,0.21
7,0,2010-09-01,1080213,3.01,0.23,0.23,0.26
8,0,2010-09-01,1218468,3.02,0.23,0.23,0.26
9,0,2010-09-01,464285,1.43,0.11,0.11,0.12
10,0,2010-09-01,1207489,3.29,0.25,0.25,0.28
11,0,2010-09-01,885315,2.71,0.21,0.21,0.23
12,0,2010-09-01,663540,2.02,0.15,0.15,0.17
13,0,2010-09-01,889681,2.51,0.19,0.19,0.21
0,1,2010-09-01,3214370,7.31,0.56,0.56,0.62
1,1,2010-09-01,1198767,3.50,0.27,0.27,0.30
2,1,2010-09-01,1293539,3.72,0.28,0.28,0.32
3,1,2010-09-01,1334434,3.85,0.29,0.29,0.33
4,1,2010-09-01,1085000,2.89,0.22,0.22,0.25
5,1,2010-09-01,1295754,3.89,0.30,0.30,0.33
6,1,2010-09-01,1111518,3.30,0.25,0.25,0.28
7,1,2010-09-01,1651184,4.61,0.35,0.35,0.39
8,1,2010-09-01,1710217,4.24,0.33,0.33,0.36
9,1,2010-09-01,684272,2.11,0.16,0.16,0.18
10,1,2010-09-01,1799329,4.90,0.38,0.38,0.42
11,1,2010-09-01,1235429,3.79,0.29,0.29,0.32
12,1,2010-09-01,922367,2.81,0.22,0.22,0.24
13,1,2010-09-01,1312019,3.71,0.28,0.28,0.32
0,2,2010-09-01,4654381,10.59,0.81,0.81,0.90
1,2,2010-09-01,1354206,3.95,0.30,0.30,0.34
2,2,2010-09-01,1616926,4.65,0.36,0.36,0.40
3,2,2010-09-01,1503153,4.34,0.33,0.33,0.37
4,2,2010-09-01,1304384,3.48,0.27,0.27,0.30
5,2,2010-09-01,1631664,4.90,0.38,0.38,0.42
6,2,2010-09-01,1300356,3.86,0.30,0.30,0.33
7,2,2010-09-01,1961831,5.48,0.42,0.42,0.47
8,2,2010-09-01,2112030,5.23,0.40,0.40,0.45
9,2,2010-09-01,836029,2.58,0.20,0.20,0.22
10,2,2010-09-01,1972776,5.37,0.41,0.41,0.46
11,2,2010-09-01,1412315,4.33,0.33,0.33,0.37
12,2,2010-09-01,1121077,3.42,0.26,0.26,0.29
13,2,2010-09-01,1664015,4.70,0.36,0.36,0.40
0,3,2010-09-01,6201256,14.11,1.08,1.08,1.20
1,3,2010-09-01,1869260,5.45,0.42,0.42,0.47
2,3,2010-09-01,2343204,6.74,0.52,0.52,0.57
3,3,2010-09-01,2514893,7.26,0.56,0.56,0.62
5,3,2010-09-01,2452876,7.37,0.56,0.56,0.63
6,3,2010-09-01,1664534,4.94,0.38,0.38,0.42
7,3,2010-09-01,2708000,7.56,0.58,0.58,0.64
8,3,2010-09-01,3484722,8.63,0.66,0.66,0.73
9,3,2010-09-01,803667,2.48,0.19,0.19,0.21
10,3,2010-09-01,3395387,9.25,0.71,0.71,0.79
11,3,2010-09-01,2319543,7.12,0.55,0.55,0.61
12,3,2010-09-01,1537625,4.69,0.36,0.36,0.40
13,3,2010-09-01,2270855,6.42,0.49,0.49,0.55
14,0,2010-09-01,968251,2.51,0.19,0.19,0.21
14,1,2010-09-01,1293486,3.36,0.26,0.26,0.29
14,2,2010-09-01,1548484,4.02,0.31,0.31,0.34
14,3,2010-09-01,2171108,5.64,0.43,0.43,0.48
0,4,2010-09-01,3838077,8.73,0.67,0.67,0.74
1,4,2010-09-01,1326501,3.87,0.30,0.30,0.33
2,4,2010-09-01,1439698,4.14,0.32,0.32,0.35
3,4,2010-09-01,1413151,4.08,0.31,0.31,0.35
4,4,2010-09-01,1178851,3.14,0.24,0.24,0.27
5,4,2010-09-01,1433455,4.31,0.33,0.33,0.37
6,4,2010-09-01,1189281,3.53,0.27,0.27,0.30
7,4,2010-09-01,1719480,4.80,0.37,0.37,0.41
8,4,2010-09-01,1911867,4.74,0.36,0.36,0.40
9,4,2010-09-01,725778,2.24,0.17,0.17,0.19
10,4,2010-09-01,1909710,5.20,0.40,0.40,0.44
11,4,2010-09-01,1341261,4.11,0.32,0.32,0.35
12,4,2010-09-01,1024387,3.12,0.24,0.24,0.27
13,4,2010-09-01,1473557,4.16,0.32,0.32,0.35
14,4,2010-09-01,1708977,4.44,0.34,0.34,0.38
0,0,2010-10-01,2231800,5.07,0.38,0.39,0.43
1,0,2010-10-01,962911,2.80,0.21,0.21,0.24
2,0,2010-10-01,908668,2.59,0.20,0.20,0.22
3,0,2010-10-01,957804,2.76,0.21,0.21,0.23
4,0,2010-10-01,824561,2.18,0.17,0.17,0.18
5,0,2010-10-01,827582,2.47,0.19,0.19,0.21
6,0,2010-10-01,761113,2.25,0.17,0.17,0.19
7,0,2010-10-01,1090690,3.02,0.23,0.23,0.26
8,0,2010-10-01,1214119,3.00,0.23,0.23,0.26
9,0,2010-10-01,440323,1.35,0.10,0.10,0.12
10,0,2010-10-01,1223888,3.31,0.25,0.25,0.28
11,0,2010-10-01,889861,2.72,0.21,0.21,0.23
12,0,2010-10-01,661719,2.00,0.15,0.15,0.17
13,0,2010-10-01,907733,2.56,0.19,0.20,0.22
0,1,2010-10-01,3201245,7.27,0.55,0.55,0.62
1,1,2010-10-01,1221724,3.56,0.27,0.27,0.30
2,1,2010-10-01,1295240,3.70,0.28,0.28,0.31
3,1,2010-10-01,1386059,3.99,0.30,0.30,0.34
4,1,2010-10-01,1048625,2.77,0.21,0.21,0.23
5,1,2010-10-01,1261377,3.77,0.29,0.29,0.32
6,1,2010-10-01,1074122,3.18,0.24,0.24,0.27
7,1,2010-10-01,1654289,4.58,0.35,0.35,0.39
8,1,2010-10-01,1696043,4.19,0.32,0.32,0.36
9,1,2010-10-01,678899,2.08,0.16,0.16,0.18
10,1,2010-10-01,1786965,4.83,0.37,0.37,0.41
11,1,2010-10-01,1246761,3.81,0.29,0.29,0.32
12,1,2010-10-01,924927,2.80,0.21,0.21,0.24
13,1,2010-10-01,1269658,3.58,0.27,0.27,0.30
0,2,2010-10-01,4513124,10.26,0.78,0.78,0.87
1,2,2010-10-01,1404497,4.09,0.31,0.31,0.35
2,2,2010-10-01,1612971,4.61,0.35,0.35,0.39
3,2,2010-10-01,1520116,4.38,0.33,0.33,0.37
4,2,2010-10-01,1283776,3.39,0.26,0.26,0.29
5,2,2010-10-01,1660952,4.97,0.38,0.38,0.42
6,2,2010-10-01,1289606,3.82,0.29,0.29,0.32
7,2,2010-10-01,1978167,5.48,0.42,0.42,0.47
8,2,2010-10-01,2119746,5.24,0.40,0.40,0.45
