kraj_index,byt_index,datum,cena,pdb,fdbi70,fdbi85,fdbi100
1,1,2009-02-01,1459908,4.59,0.38,0.39,0.41
2,1,2009-02-01,1508004,4.87,0.41,0.41,0.43
3,1,2009-02-01,1644737,5.31,0.44,0.45,0.47
4,1,2009-02-01,1275578,3.92,0.33,0.33,0.35
5,1,2009-02-01,1360944,4.59,0.38,0.39,0.41
6,1,2009-02-01,1363527,4.44,0.37,0.38,0.39
7,1,2009-02-01,1853684,5.66,0.47,0.48,0.50
8,1,2009-02-01,1792538,5.02,0.42,0.42,0.45
9,1,2009-02-01,772063,2.55,0.21,0.22,0.23
10,1,2009-02-01,1865280,5.99,0.50,0.51,0.53
11,1,2009-02-01,1452694,4.82,0.40,0.41,0.43
12,1,2009-02-01,1149809,3.90,0.33,0.33,0.35
13,1,2009-02-01,1509083,4.79,0.40,0.41,0.42
0,2,2009-02-01,5037488,13.25,1.10,1.12,1.17
1,2,2009-02-01,1686044,5.30,0.44,0.45,0.47
2,2,2009-02-01,1815504,5.87,0.49,0.50,0.52
3,2,2009-02-01,2030081,6.55,0.55,0.56,0.58
4,2,2009-02-01,1607412,4.94,0.41,0.42,0.44
5,2,2009-02-01,1873189,6.31,0.53,0.54,0.56
6,2,2009-02-01,1424884,4.64,0.39,0.39,0.41
7,2,2009-02-01,2382345,7.27,0.61,0.62,0.64
8,2,2009-02-01,2356096,6.59,0.55,0.56,0.58
9,2,2009-02-01,962700,3.18,0.27,0.27,0.28
10,2,2009-02-01,2475396,7.95,0.66,0.67,0.70
11,2,2009-02-01,1778706,5.90,0.49,0.50,0.52
12,2,2009-02-01,1416617,4.81,0.40,0.41,0.43
13,2,2009-02-01,1718121,5.45,0.45,0.46,0.48
0,3,2009-02-01,7671042,20.19,1.68,1.71,1.79
1,3,2009-02-01,1791235,5.63,0.47,0.48,0.50
2,3,2009-02-01,2955316,9.55,0.80,0.81,0.85
3,3,2009-02-01,2703972,8.73,0.73,0.74,0.77
5,3,2009-02-01,2697455,9.09,0.76,0.77,0.81
6,3,2009-02-01,2083667,6.79,0.57,0.58,0.60
7,3,2009-02-01,2075079,6.33,0.53,0.54,0.56
8,3,2009-02-01,3219258,9.01,0.75,0.76,0.80
9,3,2009-02-01,1220216,4.03,0.34,0.34,0.36
10,3,2009-02-01,3414221,10.96,0.91,0.93,0.97
11,3,2009-02-01,2324435,7.72,0.64,0.65,0.68
12,3,2009-02-01,1870131,6.35,0.53,0.54,0.56
13,3,2009-02-01,2516750,7.99,0.67,0.68,0.71
14,0,2009-02-01,1266060,3.64,0.30,0.31,0.32
14,1,2009-02-01,1597639,4.59,0.38,0.39,0.41
14,2,2009-02-01,1956262,5.63,0.47,0.48,0.50
14,3,2009-02-01,2690655,7.74,0.65,0.66,0.69
0,4,2009-02-01,4362961,11.48,0.96,0.97,1.02
1,4,2009-02-01,1592929,5.01,0.42,0.42,0.44
2,4,2009-02-01,1667419,5.39,0.45,0.46,0.48
3,4,2009-02-01,1780742,5.75,0.48,0.49,0.51
4,4,2009-02-01,1416815,4.36,0.36,0.37,0.39
5,4,2009-02-01,1595241,5.38,0.45,0.46,0.48
6,4,2009-02-01,1375666,4.48,0.37,0.38,0.40
7,4,2009-02-01,1966657,6.00,0.50,0.51,0.53
8,4,2009-02-01,2024456,5.67,0.47,0.48,0.50
9,4,2009-02-01,865794,2.86,0.24,0.24,0.25
10,4,2009-02-01,2194609,7.05,0.59,0.60,0.62
11,4,2009-02-01,1628489,5.40,0.45,0.46,0.48
12,4,2009-02-01,1283136,4.36,0.36,0.37,0.39
13,4,2009-02-01,1605158,5.09,0.42,0.43,0.45
14,4,2009-02-01,2123373,6.11,0.51,0.52,0.54
0,0,2009-03-01,2491597,6.47,0.54,0.55,0.58
1,0,2009-03-01,1280545,4.00,0.34,0.34,0.36
2,0,2009-03-01,1128407,3.62,0.30,0.31,0.32
3,0,2009-03-01,1175240,3.76,0.32,0.32,0.34
4,0,2009-03-01,891523,2.72,0.23,0.23,0.24
5,0,2009-03-01,914898,3.06,0.26,0.26,0.27
6,0,2009-03-01,950508,3.07,0.26,0.26,0.27
7,0,2009-03-01,1306080,3.97,0.33,0.34,0.35
8,0,2009-03-01,1436224,3.98,0.33,0.34,0.35
9,0,2009-03-01,592251,1.95,0.16,0.17,0.17
10,0,2009-03-01,1340710,4.26,0.36,0.36,0.38
11,0,2009-03-01,1127419,3.72,0.31,0.32,0.33
12,0,2009-03-01,813551,2.74,0.23,0.23,0.24
13,0,2009-03-01,1078701,3.39,0.28,0.29,0.30
0,1,2009-03-01,3548786,9.21,0.77,0.78,0.82
1,1,2009-03-01,1418845,4.43,0.37,0.38,0.40
2,1,2009-03-01,1543481,4.96,0.41,0.42,0.44
3,1,2009-03-01,1701041,5.44,0.46,0.46,0.48
4,1,2009-03-01,1257749,3.84,0.32,0.33,0.34
5,1,2009-03-01,1353219,4.53,0.38,0.39,0.40
6,1,2009-03-01,1395798,4.52,0.38,0.38,0.40
7,1,2009-03-01,1916667,5.83,0.49,0.50,0.52
8,1,2009-03-01,1757138,4.87,0.41,0.41,0.43
9,1,2009-03-01,753001,2.48,0.21,0.21,0.22
10,1,2009-03-01,1857976,5.91,0.49,0.50,0.53
11,1,2009-03-01,1455203,4.81,0.40,0.41,0.43
12,1,2009-03-01,1121939,3.79,0.32,0.32,0.34
13,1,2009-03-01,1495287,4.70,0.39,0.40,0.42
0,2,2009-03-01,4757307,12.35,1.03,1.05,1.10
1,2,2009-03-01,1724183,5.39,0.45,0.46,0.48
2,2,2009-03-01,1801206,5.79,0.48,0.49,0.52
3,2,2009-03-01,1886848,6.04,0.51,0.51,0.54
4,2,2009-03-01,1587711,4.85,0.41,0.41,0.43
